id;project;connector_type;t;delta_t;url;redirect_url;response_size;response_code;success;error
137;LOL;requests;1566789092.361897;-0.21401596069335938;https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com//title/tt0094898/;https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com//title/tt0094898/;3921;404;True;
138;LOL;requests;1566789093.080554;-0.2125999927520752;https://www.imdb.com/https://www.imdb.com//title/tt2343793/;https://www.imdb.com/https://www.imdb.com//title/tt2343793/;3938;404;True;
139;LOL;requests;1566789093.7967758;-0.21246623992919922;https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com//title/tt2356180/;https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com//title/tt2356180/;3901;404;True;
140;LOL;requests;1566789094.516225;-0.21033382415771484;https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com//title/tt0104291/;https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com//title/tt0104291/;3916;404;True;
141;LOL;requests;1566789095.23328;-0.20949816703796387;https://www.imdb.com/https://www.imdb.com//title/tt0308152/;https://www.imdb.com/https://www.imdb.com//title/tt0308152/;3902;404;True;
142;LOL;requests;1566789095.9458802;-0.21434283256530762;https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com//title/tt0127536/;https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com//title/tt0127536/;3921;404;True;
143;LOL;requests;1566789096.663114;-0.2143101692199707;https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com//title/tt0118607/;https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com//title/tt0118607/;3921;404;True;
144;LOL;requests;1566789097.379616;-0.21340012550354004;https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com//title/tt0805564/;https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com//title/tt0805564/;3919;404;True;
145;LOL;requests;1566789098.09638;-0.21246981620788574;https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com//title/tt1981115/;https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com//title/tt1981115/;3890;404;True;
146;LOL;requests;1566789098.814744;-0.21108102798461914;https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com//title/tt2543164/;https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com//title/tt2543164/;3933;404;True;
