id;project;connector_type;t;delta_t;url;redirect_url;response_size;response_code;success;error
409;LOL;requests;1566464614.24568;-0.6385738849639893;https://www.imdb.com//title/tt0120586/;https://www.imdb.com//title/tt0120586/;221045;200;True;
410;LOL;requests;1566464615.5806952;-0.5958409309387207;https://www.imdb.com//title/tt0118799/;https://www.imdb.com//title/tt0118799/;224215;200;True;
411;LOL;requests;1566464616.8550642;-0.7198746204376221;https://www.imdb.com//title/tt0816692/;https://www.imdb.com//title/tt0816692/;233726;200;True;
412;LOL;requests;1566464618.306635;-0.7511591911315918;https://www.imdb.com//title/tt0032553/;https://www.imdb.com//title/tt0032553/;218296;200;True;
413;LOL;requests;1566464619.8238761;-0.7472548484802246;https://www.imdb.com//title/tt0405159/;https://www.imdb.com//title/tt0405159/;228761;200;True;
414;LOL;requests;1566464621.260127;-0.8782188892364502;https://www.imdb.com//title/tt0110912/;https://www.imdb.com//title/tt0110912/;232821;200;True;
415;LOL;requests;1566464622.838948;-0.9111828804016113;https://www.imdb.com//title/tt0482571/;https://www.imdb.com//title/tt0482571/;222164;200;True;
416;LOL;requests;1566464624.442545;-0.7430820465087891;https://www.imdb.com//title/tt0119488/;https://www.imdb.com//title/tt0119488/;229565;200;True;
417;LOL;requests;1566464625.868377;-0.5232441425323486;https://www.imdb.com//title/tt0055630/;https://www.imdb.com//title/tt0055630/;211836;200;True;
418;LOL;requests;1566464627.14131;-0.8425719738006592;https://www.imdb.com//title/tt0050212/;https://www.imdb.com//title/tt0050212/;224225;200;True;
419;LOL;requests;1566464628.669724;-1.3119909763336182;https://www.imdb.com//title/tt0118694/;https://www.imdb.com//title/tt0118694/;218996;200;True;
420;LOL;requests;1566464630.671652;-0.7330799102783203;https://www.imdb.com//title/tt0071562/;https://www.imdb.com//title/tt0071562/;226949;200;True;
421;LOL;requests;1566464632.0898392;-0.979022741317749;https://www.imdb.com//title/tt0468569/;https://www.imdb.com//title/tt0468569/;228307;200;True;
422;LOL;requests;1566464633.7503428;-0.7404501438140869;https://www.imdb.com//title/tt0093779/;https://www.imdb.com//title/tt0093779/;227989;200;True;
423;LOL;requests;1566464635.2419379;-0.7781031131744385;https://www.imdb.com//title/tt0317248/;https://www.imdb.com//title/tt0317248/;222975;200;True;
424;LOL;requests;1566464636.71754;-0.9989368915557861;https://www.imdb.com//title/tt0080678/;https://www.imdb.com//title/tt0080678/;215981;200;True;
425;LOL;requests;1566464638.403893;-0.5411698818206787;https://www.imdb.com//title/tt0022100/;https://www.imdb.com//title/tt0022100/;214893;200;True;
426;LOL;requests;1566464639.616841;-1.4664809703826904;https://www.imdb.com//title/tt1392190/;https://www.imdb.com//title/tt1392190/;222843;200;True;
427;LOL;requests;1566464641.772001;-0.8313939571380615;https://www.imdb.com//title/tt0469494/;https://www.imdb.com//title/tt0469494/;224863;200;True;
428;LOL;requests;1566464643.377913;-0.7637500762939453;https://www.imdb.com//title/tt0052618/;https://www.imdb.com//title/tt0052618/;221491;200;True;
429;LOL;requests;1566464644.833167;-0.7370989322662354;https://www.imdb.com//title/tt0081505/;https://www.imdb.com//title/tt0081505/;234372;200;True;
430;LOL;requests;1566464646.25919;-0.6913909912109375;https://www.imdb.com//title/tt2106476/;https://www.imdb.com//title/tt2106476/;220188;200;True;
431;LOL;requests;1566464647.6479738;-1.3569352626800537;https://www.imdb.com//title/tt2380307/;https://www.imdb.com//title/tt2380307/;228775;200;True;
432;LOL;requests;1566464649.693821;-0.9399228096008301;https://www.imdb.com//title/tt0395169/;https://www.imdb.com//title/tt0395169/;218170;200;True;
433;LOL;requests;1566464651.3899782;-0.6224279403686523;https://www.imdb.com//title/tt0113247/;https://www.imdb.com//title/tt0113247/;214561;200;True;
434;LOL;requests;1566464652.657255;-0.6171839237213135;https://www.imdb.com//title/tt8108198/;https://www.imdb.com//title/tt8108198/;237932;200;True;
435;LOL;requests;1566464653.998842;-0.6499359607696533;https://www.imdb.com//title/tt4016934/;https://www.imdb.com//title/tt4016934/;221899;200;True;
436;LOL;requests;1566464655.300981;-0.6720399856567383;https://www.imdb.com//title/tt0119217/;https://www.imdb.com//title/tt0119217/;221137;200;True;
437;LOL;requests;1566464656.725622;-1.1147751808166504;https://www.imdb.com//title/tt0457430/;https://www.imdb.com//title/tt0457430/;226093;200;True;
